epoch, train_loss, val_loss, lr
0, 1.0383525300507594, 0.4867037016936023, 3.99e-04
1, 0.4220398044345355, 0.353131192741972, 3.98e-04
2, 0.3412521987250357, 0.30727075711645263, 3.94e-04
3, 0.29890092999646156, 0.27908915293337117, 3.90e-04
4, 0.26108253230952255, 0.22592134680410828, 3.85e-04
5, 0.22455723972031563, 0.20575711377943404, 3.78e-04
6, 0.19299428170979624, 0.16181252520493786, 3.71e-04
7, 0.16428261187040444, 0.14922874479582815, 3.62e-04
8, 0.13801144734777585, 0.10795859908214724, 3.52e-04
9, 0.11809898902370472, 0.11532809966140323, 3.41e-04
10, 0.10678590907893999, 0.09442468445108394, 3.30e-04
11, 0.09539482225522851, 0.09400629813622946, 3.18e-04
12, 0.08859160462714205, 0.08391834667535743, 3.04e-04
13, 0.08218443939330602, 0.08440241214602885, 2.91e-04
14, 0.07591652571402414, 0.07570627285073502, 2.77e-04
15, 0.07203361281391346, 0.08604119152131706, 2.62e-04
16, 0.0667058118816578, 0.07266154852178362, 2.47e-04
17, 0.0644120227583129, 0.09344993971212946, 2.31e-04
18, 0.060264959588947925, 0.07739004829917291, 2.16e-04
19, 0.057215825219949085, 0.07158515071026003, 2.00e-04
20, 0.054829329673690023, 0.06936070822706127, 1.84e-04
21, 0.05207202887595302, 0.07948766994957972, 1.69e-04
22, 0.050284865445861915, 0.07447962966380697, 1.53e-04
23, 0.04756518412343781, 0.07322859318569454, 1.38e-04
24, 0.04526050431710301, 0.08942437274287446, 1.23e-04
25, 0.04387138193905955, 0.07075306511286533, 1.09e-04
26, 0.04221711533915515, 0.0746377245946364, 9.55e-05
27, 0.04020880725648668, 0.07385756341796933, 8.24e-05
28, 0.0388432661993335, 0.07270178925810439, 7.01e-05